t,1.0Y,2.0Y,3.0Y,5.0Y,10.0Y,20.0Y,25.0Y
1,0.0624879235154584,0.0558754516739512,0.0509406793490538,0.044538246020449,0.0331303132853489,0.0289738387862274,0.0337756738390754
2,0.0624317173221332,0.056056849158398,0.0512386032062188,0.0449197421834796,0.0335332856918971,0.0292942401867155,0.0340100440860262
3,0.0627683456838362,0.0562830250983899,0.0513722715837298,0.0449517425421179,0.0334224489902847,0.0291696926907789,0.033947332445508
4,0.0627619660149574,0.0562026525223006,0.0512806527467776,0.0448745163563049,0.033409922895245,0.0292435715697464,0.0340588088862606
5,0.0625031116479126,0.0558080938796576,0.0508870479338965,0.0445366141984485,0.0332530955168502,0.0292576844758924,0.0341130891449926
6,0.0626091984706473,0.0560271354097518,0.0511200514717308,0.0447218107376488,0.0332547427425926,0.0290992864237061,0.0339062231596701
7,0.0629115433418787,0.0560212954891201,0.0509536057439525,0.0444309178368355,0.0328914296304458,0.0288654956507089,0.0338204329522709
8,0.062618076169812,0.0554988901922784,0.0504016308949574,0.0439248156120269,0.0326028428269024,0.0288228984531186,0.0338591754350285
9,0.0632613446796742,0.0559571877347244,0.0506803853827363,0.0439881073732116,0.0323279422923257,0.0284730476188248,0.0336376836354272
10,0.0634854658888958,0.0562659537884702,0.0509810685321129,0.0442252970396519,0.0323672719886722,0.0283567734925871,0.033494833073528
11,0.0637054608180452,0.0563520336325224,0.0509728646414045,0.0441080712460954,0.0320861482903853,0.0280455557740296,0.0332480617174944
12,0.063496501299016,0.056457337592102,0.0512353219953957,0.0444811810105934,0.0324979500495371,0.028336968792085,0.0333925239669777
13,0.0631250196647162,0.056295837642328,0.0512448608318722,0.0446850480062275,0.0329840311724676,0.0289223332664195,0.0338878188495965
14,0.063804958671294,0.0567300763841312,0.0514765140771245,0.0446958636188521,0.0326796709467663,0.0285580811180757,0.0336569325414602
15,0.0637521543191452,0.0564772503553397,0.0511694229376923,0.0443829439664349,0.032458313248108,0.0284986966451702,0.0336848296958757
16,0.0637761857355219,0.0563719991965269,0.050999117866974,0.0441436186102965,0.0321310651089734,0.0281671646454615,0.0333897024180297
17,0.0635987513934003,0.0562083986549196,0.0508832895199439,0.0440955103657815,0.0322030759205714,0.0283134547266391,0.0335264139219445
18,0.0636892289991894,0.0562593485190029,0.0508776153292438,0.0439868323472534,0.0318796087927312,0.0278615625205595,0.0330718032640088
19,0.0636845576774583,0.0562510115053268,0.0508731008141278,0.0439832006917354,0.0318696124438615,0.0278583813039539,0.033070581758886
20,0.0633279523214167,0.0559416871939302,0.0506484886453571,0.0438657290049878,0.0319318551118954,0.028013989610901,0.0331917543649362
21,0.0633097833643214,0.056072788777444,0.050862279009244,0.0441553245673317,0.0322885750953349,0.0283685043773696,0.033504955222634
22,0.0630256957874683,0.0558766102693192,0.0507580824760093,0.0441562967172949,0.0324393712752778,0.0285612587447137,0.0336425861841378
23,0.0627700555711902,0.0559917592536062,0.0510682593362692,0.0446096414817644,0.0329457940283371,0.0289074925069475,0.0338131692894242
24,0.0626639453418907,0.0559911026719559,0.0511230968702709,0.0446940393216624,0.033010084983091,0.0289054311669028,0.0337562536316588
25,0.0625822304253472,0.0560035911528778,0.0511940893759588,0.0448154099250029,0.0331701669601499,0.0290515836927688,0.0338633724205257
26,0.0633321485729367,0.056615322629514,0.0516214758589514,0.0450027899665833,0.0329579789788557,0.0287146665837423,0.0336320205268114
27,0.063162780281695,0.0565455258662105,0.0516244512953315,0.0450732068078395,0.0330940907139643,0.0288415966474877,0.0337076143608529
28,0.0628731045525897,0.0563024776375502,0.0514471328413066,0.0449701513932394,0.0330992504471404,0.0288821507449666,0.0337076200242286
29,0.0633433344793601,0.0564519395964157,0.0513931685306367,0.0447253173366698,0.0326518806657355,0.028492007181671,0.0334796102185534
30,0.0630240140644284,0.0561273807942915,0.0511303220109014,0.0445609666058011,0.0326853918467692,0.0286518884907895,0.0336251591126907
