t,r_t
1,0.057395233872048
2,0.057478042877535496
3,0.05747599045952428
4,0.05752476388944718
5,0.05760205127671378
6,0.05765257464426212
7,0.057636679434208964
8,0.057711731115718916
9,0.057663791142992644
10,0.05770302470373236
11,0.05772360952536844
12,0.057845624727574055
13,0.057974990683777476
14,0.0579197945962979
15,0.05797074275653432
16,0.058019561353446956
17,0.05810796744126244
18,0.05815580149316356
19,0.05821895906981194
20,0.058332877688130835
21,0.058408045219373164
22,0.0585128998895408
23,0.05863703692630172
24,0.05871379201507408
25,0.05878433067122388
26,0.058720980315132426
27,0.05880868539089496
28,0.05890583952680636
29,0.058865294158585775
30,0.05896321233924176
31,0.059007046158948834
32,0.059024320729018476
33,0.05903634038256428
34,0.05915252135233442
35,0.059197686855763244
36,0.05933381000936254
37,0.05936594225916282
38,0.05930296694177594
39,0.05944919772612394
40,0.05947532978008928
41,0.059522441147597215
42,0.05959114928235088
43,0.05965202719700114
44,0.05967200252816518
45,0.0597464597985317
46,0.05973833400489416
47,0.059747471922584984
48,0.05980012811968026
49,0.059854379563560316
50,0.05985826943138734
51,0.059870519884496064
52,0.05997218163779764
53,0.060070079129310325
54,0.060111346345646854
55,0.06026538630455748
56,0.06033489279917688
57,0.06035894811224954
58,0.060433965693035704
59,0.060491712683584456
60,0.06047958011476512
61,0.060493017071158686
62,0.060560782018552875
63,0.060731418728929926
64,0.06078205224447186
65,0.060772223287816625
66,0.06085362851142138
67,0.06092674826475292
68,0.061061227632675436
69,0.06114130987425704
70,0.06106358199476352
71,0.06120834510929734
72,0.0611777167782892
73,0.06118183269069244
74,0.061244830180322236
75,0.061283852483030164
76,0.06123956352927368
77,0.06131096769414844
78,0.061324849308186435
79,0.061566780486865626
80,0.06157991546410717
81,0.06168261126253406
82,0.06168061443151194
83,0.06174459003672398
84,0.06178126489381222
85,0.06187873485384069
86,0.0618741629468488
87,0.06188596743495103
88,0.06202569638454706
89,0.06198975131510276
90,0.062033060488614435
91,0.062094374392397726
92,0.06211346339784291
93,0.06217010833534352
94,0.06232662262612246
95,0.062444043177293726
96,0.06258066050469677
97,0.0627133453309491
98,0.06275148415873513
99,0.06274848658237164
100,0.06275987140694474
101,0.0627939340002032
102,0.06286607612602711
103,0.06288177459991384
104,0.06292212029761739
105,0.06292598960460219
106,0.06289102195674037
107,0.06295532617789432
108,0.06300682105341177
109,0.06304433316471707
110,0.06320272727057054
111,0.06320337381749434
112,0.06332983503661632
113,0.06336924498063583
114,0.06333834600649306
115,0.06333679556558997
116,0.06338022677975177
117,0.06342756290453873
118,0.06346293339710297
119,0.0633979242928484
120,0.06342120788698805
121,0.063539412262639
122,0.06356750846138054
123,0.06355367231734961
124,0.0635648338875108
125,0.06375814154198987
126,0.0637570563784674
127,0.06382034347049159
128,0.06392679363611084
129,0.06400094982152128
130,0.06401874541418548
131,0.06411091689928626
132,0.06410433431906953
133,0.06402870731419458
134,0.0640305717496406
135,0.06401300025218945
136,0.06407462793128793
137,0.06406596016968144
138,0.06411708077500143
139,0.06416336456521438
140,0.06418998600879061
141,0.06424268169616015
142,0.06431021545804061
143,0.06435473551925305
144,0.06434308022670006
145,0.06439525154755614
146,0.06442756971700676
147,0.0644012753157277
148,0.06444909961510434
149,0.06447548082788303
150,0.06453574897741786
151,0.06458805537338154
152,0.06464604929954235
153,0.06460571620618885
154,0.06460825017595076
155,0.06451424476373753
156,0.06453465974751361
157,0.06456085583146032
158,0.06460670732710237
159,0.06461470991906552
160,0.06464554269051657
161,0.06464927297577759
162,0.06470353533235303
163,0.06480882275717137
164,0.06474220395400812
165,0.06482823404805518
166,0.06483472378464249
167,0.06486989394376566
168,0.06496620403807324
169,0.06493756489952904
170,0.06488689069537389
171,0.06491379370575617
172,0.06504043656670751
173,0.06510097051318765
174,0.06513282456021884
175,0.0651730035886683
176,0.06523088003762297
177,0.0652583125978881
178,0.06536894248325434
179,0.06537216733674557
180,0.06537735175553017
181,0.06534143058787538
182,0.06529035129119921
183,0.06527186247655532
184,0.06521742749835469
185,0.0653024310448873
186,0.06530665296778822
187,0.06524200861324914
188,0.06528241603613398
189,0.0652263286574981
190,0.06519041441457703
191,0.0652435003457411
192,0.06528284390877295
193,0.06525463555407776
194,0.06529877114090438
195,0.06520044715439895
196,0.06512148691950317
197,0.06507909430106733
198,0.06520867917723308
199,0.0651690176055133
200,0.06523830981065021
201,0.06521476390942138
202,0.0652242496860695
203,0.06520416344084658
204,0.0652626908872823
205,0.06527181120931641
206,0.06526156333406824
207,0.0652016539022521
208,0.06517844155260738
209,0.06521169216919366
210,0.065317380648192
211,0.06531283592089013
212,0.06526758493747337
213,0.0652328749702708
214,0.06523815218428594
215,0.06520031649297948
216,0.06527911443413172
217,0.06532099658255408
218,0.06539985442541743
219,0.06540059321021893
220,0.06544308231810325
221,0.06545481228035863
222,0.06551781297511841
223,0.06557354175310866
224,0.06563816353949198
225,0.06564198819662233
226,0.06566607851374175
227,0.06566869378885992
228,0.06565003663175803
229,0.06563547929740411
230,0.06557861469826526
231,0.06558871117802637
232,0.06555556735885242
233,0.06549647143508312
234,0.06547770254349838
235,0.06543438497798268
236,0.06541009573917382
237,0.06535132396615487
238,0.06533031294547727
239,0.06542795394353139
240,0.06529925881046417
241,0.06530945156816308
242,0.06531353005716849
243,0.0653656940504442
244,0.06535597982653533
245,0.06527652917264769
246,0.06518652052873977
247,0.06511195419243403
248,0.06506096157565615
249,0.06505207699613785
250,0.06504053631966647
